Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,298.5400000000001,3582.48,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,Asia Pacific (Melbourne),Amazon EC2,Amazon EC2 ,0,203.63000000000002,2443.56,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 1), Advance EC2 instance (i3en.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (50 GB), DT Inbound: Not selected (50 GB per month), DT Outbound: Not selected (50 GB per month), DT Intra-Region: (50 GB per month)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Standard,0,25.75,309.00,USD,,"S3 Standard storage (1 TB per month), Data scanned by S3 Select (50 GB per month), Data returned by S3 Select (50 GB per month)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Intelligent - Tiering,0,7.61,91.32,USD,,"S3 INT Average Object Size (16 MB), Percentage of Storage in INT-Frequent Access Tier (1), S3 INT storage (50 GB per month), Percentage of Storage in INT-Infrequent Access Tier (% of storage that hasn't been accessed in the last 30 days) (0), Percentage of Storage in INT-Archive Instant Access Tier (% of storage that hasn't been accessed in the last 90 days) (0), Percentage of Storage in INT-Archive Access Tier (% of storage that hasn't been accessed for a minimum of 90 days) (0), Percentage of Storage in INT-Deep Archive Access Tier (% of storage that hasn't been accessed for a minimum of 180 days) (0), Lifecycle Transition requests (10000), Data returned by S3 Select (2 TB per month), PUT, COPY, POST, LIST requests to S3 INT (1000), GET, SELECT, and all other requests from S3 INT (1000), Data scanned by S3 Select (2 TB per month)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Standard - Infrequent Access,0,10.8,129.60,USD,,"S3 Standard-IA storage (50 GB per month), PUT, COPY, POST, LIST requests to S3 Standard-IA (10000), GET, SELECT, and all other requests from S3 Standard-IA (10000), Lifecycle Transition requests (1000000)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 One Zone - Infrequent Access,0,0.6125,7.35,USD,,"Data scanned by S3 Select (50 GB per month), Data returned by S3 Select (50 GB per month)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Glacier Flexible Retrieval,0,0,0.00,USD,,S3 Glacier Flexible Retrieval Average Object Size (16 MB)
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Glacier Deep Archive,0,0.1,1.20,USD,,"S3 Glacier Deep Archive Average Object Size (16 MB), S3 Glacier Deep Archive storage (50 GB per month)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Management and Insights,0,0.03,0.36,USD,,Size of encrypted data (10 GB)
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Object Lambda,0,50.0064,600.08,USD,,"GET requests from S3 (10000), Size of data returned by S3 Object Lambda (1 GB)"
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),S3 Glacier Instant Retrieval,0,0,0.00,USD,,
My Estimate,Asia Pacific (Melbourne),Amazon Simple Storage Service (S3),Data Transfer,0,0,0.00,USD,,"DT Inbound: All other regions (100 GB per month), DT Outbound: Not selected (100 GB per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
